0; 53.5453275758766; 84.51949091920119 
0.5; 53.54750774616491; 84.52612133976608 
1; 53.5496368099273; 84.532429895255 
1.5; 53.55348670124157; 84.53665705671216 
2; 53.55660970015217; 84.54169960972321 
2.5; 53.557893886889644; 84.54892011640157 
3; 53.56018493216156; 84.55542179104772 
3.5; 53.56246948103461; 84.56193955896326 
4; 53.5654102179342; 84.56760974882401 
4.5; 53.56702227946331; 84.57446547504715 
5; 53.56850685095228; 84.58146604057923 
5.5; 53.57169563624682; 84.5866212463267 
6; 53.574527432774225; 84.59231289386822 
6.5; 53.57782897670724; 84.59724360947749 
7; 53.58152293763827; 84.60108851300452 
7.5; 53.582274529418854; 84.60852359636885 
8; 53.58329998478109; 84.6158889423293 
8.5; 53.58665642554693; 84.62043260441274 
9; 53.590786328863935; 84.62287877905221 
9.5; 53.59230827318063; 84.62992225988523 
10; 53.5943873260928; 84.63655804497382 
10.5; 53.594189931907536; 84.644100416756 
11; 53.593825386974615; 84.6516481528918 
11.5; 53.59542363049463; 84.65863530737631 
12; 53.59534403813073; 84.6660650263437 
12.5; 53.594310915556015; 84.67344110116339 
13; 53.59323319373541; 84.68079571827589 
13.5; 53.59299440379506; 84.68831126793171 
14; 53.59455128993642; 84.69534133777982 
14.5; 53.59769831708085; 84.70070039138805 
15; 53.601047247815735; 84.70578049526091 
15.5; 53.60437681496719; 84.710855234719 
16; 53.6077872801144; 84.71580391034435 
16.5; 53.6116764338681; 84.7195938717066 
17; 53.61525098858217; 84.72414960371358 
17.5; 53.618425111307886; 84.72951804505163 
18; 53.62159740453391; 84.73488916861315 
18.5; 53.624766472001326; 84.740273382318 
19; 53.628184760595346; 84.7451681234117 
19.5; 53.631796884242085; 84.74967959897141 
20; 53.634452894131414; 84.75573870912708 
20.5; 53.63832606335634; 84.75933463351674 
21; 53.64245886609516; 84.76218179840099 
21.5; 53.645060145638034; 84.76831332820543 
22; 53.64707618591758; 84.77505640162238 
22.5; 53.64785640562834; 84.78253101459441 
23; 53.64979854491442; 84.78935209607073 
23.5; 53.65243355026389; 84.79547289705418 
24; 53.655062032538225; 84.80152530169827 
24.5; 53.6562621619581; 84.80883432124408 
25; 53.658537545344615; 84.81528369284386 
25.5; 53.66171953812013; 84.82063939369851 
26; 53.664093955623144; 84.82703377999156 
26.5; 53.66638560254805; 84.83353880739342 
27; 53.66937790533303; 84.83919893895587 
27.5; 53.6723413946096; 84.84490667974772 
28; 53.67358798817076; 84.85211528150417 
28.5; 53.67533891891803; 84.85890395254282 
29; 53.678318749332384; 84.8644730654952 
29.5; 53.67937364684969; 84.87182768261228 
30; 53.68174548105816; 84.87822743330942 
30.5; 53.68351857740989; 84.8852065966649 
31; 53.68531198375437; 84.89216827015443 
31.5; 53.6871037253511; 84.8991312847836 
32; 53.688939863686564; 84.90606479507231 
32.5; 53.69071953900792; 84.91303049188323 
33; 53.692544445806725; 84.91997402804425 
33.5; 53.69491196506695; 84.92642474072497 
34; 53.69778790693697; 84.93217070298145 
34.5; 53.701346434348096; 84.93680287796097 
35; 53.704938796815846; 84.94137470322157 
35.5; 53.70859118066305; 84.94579632475 
36; 53.712227175857315; 84.95025863483403 
36.5; 53.71582416504457; 84.9548237545795 
37; 53.71946528742549; 84.95927353935131 
37.5; 53.72347269720985; 84.96272286014718 
38; 53.72753367855295; 84.96598174409553 
38.5; 53.7315482530555; 84.96936400966115 
39; 53.73462953596794; 84.97484376267289 
39.5; 53.73806279010552; 84.9795429928629 
40; 53.74210808548227; 84.98283138111942 
40.5; 53.74610223427482; 84.98629679514991 
41; 53.749921541710634; 84.99034693078373 
41.5; 53.753651692865574; 84.99454190571117 
42; 53.75556104681341; 85.00125279263778 
42.5; 53.75510433217298; 85.00877370672758 
43; 53.75441449336446; 85.01629797357714 
43.5; 53.75373415845686; 85.0238108410243 
44; 53.75326235796717; 85.03137198824895 
44.5; 53.75318940682954; 85.03897068636182 
45; 53.75494337081048; 85.04579959052248 
45.5; 53.75770579485245; 85.0517916454841 
46; 53.76047120845306; 85.05777833602255 
46.5; 53.76274175594005; 85.06427196400932 
47; 53.76385031029578; 85.07164173459981 
47.5; 53.76550236164987; 85.07869862649195 
48; 53.7674222744149; 85.08556508157295 
48.5; 53.770412153647904; 85.09121381378418 
49; 53.77367446181345; 85.09643339248734 
49.5; 53.77693651647347; 85.10167442891524 
50; 53.780743511334826; 85.10570847127944 
50.5; 53.78461354926972; 85.1095762166821 
51; 53.78845153900473; 85.1135458860303 
51.5; 53.79117056283203; 85.11947893234926 
52; 53.7930433543668; 85.12638830274345 
52.5; 53.79488120723663; 85.1333459529257 
53; 53.797077018951555; 85.13998173802542 
53.5; 53.79945647732956; 85.14642976851309 
54; 53.801856393445654; 85.15288048118981 
54.5; 53.80488500240879; 85.15829586119109 
55; 53.80896187424568; 85.16137503714395 
55.5; 53.81175875279235; 85.16730808347591 
56; 53.81468331846762; 85.17304801077951 
56.5; 53.819054544066766; 85.17297223838437 
57; 53.82349101825394; 85.17286360892946 
57.5; 53.82767373030718; 85.17417789132254 
58; 53.83120385496061; 85.17887175704715 
58.5; 53.83337481302409; 85.18542305256068 
59; 53.83570472811252; 85.19164376577294 
59.2; 53.835988835929946; 85.19419320542387 
